Date,Open,High,Low,Close,Adj Close,Volume
2016-10-17,8.300000,8.330000,8.010000,8.065000,7.752845,4457020
2016-10-18,8.090000,8.140000,7.820000,7.850000,7.546166,7057581
2016-10-19,7.900000,8.020000,7.835000,7.940000,7.632683,5284977
2016-10-20,7.960000,7.975000,7.590000,7.590000,7.296230,7207621
2016-10-21,7.600000,7.730000,7.505000,7.540000,7.248165,4462540
2016-10-24,7.555000,7.600000,7.370000,7.370000,7.084745,4796826
2016-10-25,7.360000,7.425000,7.220000,7.265000,6.983809,6442564
2016-10-26,7.270000,7.290000,7.070000,7.080000,6.805970,9663939
2016-10-27,7.070000,7.525000,7.010000,7.370000,7.084745,8258221
2016-10-28,7.415000,7.415000,7.035000,7.135000,6.858841,6690551
2016-10-31,7.245000,7.435000,7.070000,7.080000,6.805970,9637065
2016-11-01,7.150000,7.270000,7.105000,7.195000,6.916519,5062929
2016-11-02,7.200000,7.200000,6.860000,6.870000,6.604097,7915528
2016-11-03,6.875000,7.075000,6.825000,6.890000,6.623323,5573687
2016-11-04,6.805000,6.820000,6.570000,6.665000,6.407032,8694319
2016-11-07,6.870000,7.090000,6.820000,6.980000,6.709840,8702254
2016-11-08,7.270000,7.270000,6.865000,6.940000,6.671388,8381480
2016-11-09,6.560000,6.940000,6.505000,6.800000,6.536807,7197804
2016-11-10,7.100000,7.310000,7.050000,7.220000,6.940550,10418691
2016-11-11,7.260000,7.295000,7.120000,7.150000,6.873260,7797407
2016-11-14,7.165000,7.195000,6.855000,6.920000,6.652162,7466932
2016-11-15,7.030000,7.240000,7.030000,7.240000,6.959776,7029963
2016-11-16,7.350000,7.870000,7.150000,7.810000,7.507715,23865966
2016-11-17,7.700000,7.835000,7.455000,7.520000,7.228939,10542000
2016-11-18,7.500000,7.670000,7.405000,7.545000,7.252972,6232046
2016-11-21,7.640000,7.780000,7.610000,7.740000,7.440424,5826772
2016-11-22,7.890000,8.030000,7.730000,7.750000,7.450037,10383290
2016-11-23,7.750000,7.845000,7.490000,7.590000,7.296230,7263088
2016-11-24,7.555000,7.630000,7.480000,7.505000,7.214520,3596335
2016-11-25,7.500000,7.520000,7.340000,7.350000,7.065519,4139909
2016-11-28,7.275000,7.420000,7.070000,7.340000,7.055906,4733736
2016-11-29,7.280000,7.320000,7.060000,7.110000,6.834808,6217277
2016-11-30,7.150000,7.690000,7.145000,7.400000,7.113584,15586395
2016-12-01,7.675000,7.825000,7.560000,7.650000,7.353908,13677601
2016-12-02,7.610000,7.965000,7.570000,7.960000,7.651909,10243810
2016-12-05,8.080000,8.190000,7.925000,8.000000,7.690361,10504421
2016-12-06,7.950000,7.955000,7.750000,7.750000,7.450037,6926008
2016-12-07,7.810000,7.825000,7.610000,7.725000,7.426005,5701224
2016-12-08,7.675000,7.910000,7.615000,7.890000,7.584619,6037773
2016-12-09,7.900000,7.945000,7.810000,7.895000,7.589425,5850943
2016-12-12,8.190000,8.330000,8.125000,8.190000,7.873007,12719755
2016-12-13,8.155000,8.485000,8.020000,8.365000,8.041233,16605870
2016-12-14,8.385000,8.390000,8.150000,8.195000,7.877813,5992815
2016-12-15,8.175000,8.265000,5.000000,8.155000,7.839361,5951029
2016-12-16,8.195000,8.355000,8.180000,8.315000,7.993168,8637128
2016-12-19,8.350000,8.420000,8.265000,8.315000,7.993168,7739688
2016-12-20,8.350000,8.360000,8.200000,8.230000,7.911458,5733408
2016-12-21,8.255000,8.320000,8.110000,8.125000,7.810523,4814754
2016-12-22,8.105000,8.125000,7.910000,7.960000,7.651909,6008621
2016-12-23,8.000000,8.050000,7.890000,8.010000,7.699974,3976167
2016-12-27,8.020000,8.240000,8.010000,8.230000,7.911458,3197842
2016-12-28,8.245000,8.495000,8.240000,8.495000,8.166202,7387724
