===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2016-10-17 00:00:00,8.3,8.33,8.01,8.065,4457020.0,,SmaCross,1,736254.0,Broker,1,250000.0,250000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2016-10-18 00:00:00,8.09,8.14,7.82,7.85,7057581.0,,SmaCross,2,736255.0,Broker,2,250000.0,250000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2016-10-19 00:00:00,7.9,8.02,7.835,7.94,5284977.0,,SmaCross,3,736256.0,Broker,3,250000.0,250000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2016-10-20 00:00:00,7.96,7.975,7.59,7.59,7207621.0,,SmaCross,4,736257.0,Broker,4,250000.0,250000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2016-10-21 00:00:00,7.6,7.73,7.505,7.54,4462540.0,,SmaCross,5,736258.0,Broker,5,250000.0,250000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2016-10-24 00:00:00,7.555,7.6,7.37,7.37,4796826.0,,SmaCross,6,736261.0,Broker,6,250000.0,250000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2016-10-25 00:00:00,7.36,7.425,7.22,7.265,6442564.0,,SmaCross,7,736262.0,Broker,7,250000.0,250000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2016-10-26 00:00:00,7.27,7.29,7.07,7.08,9663939.0,,SmaCross,8,736263.0,Broker,8,250000.0,250000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2016-10-27 00:00:00,7.07,7.525,7.01,7.37,8258221.0,,SmaCross,9,736264.0,Broker,9,250000.0,250000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2016-10-28 00:00:00,7.415,7.415,7.035,7.135,6690551.0,,SmaCross,10,736265.0,Broker,10,250000.0,250000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,2016-10-31 00:00:00,7.245,7.435,7.07,7.08,9637065.0,,SmaCross,11,736268.0,Broker,11,250000.0,250000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,,12,2016-11-01 00:00:00,7.15,7.27,7.105,7.195,5062929.0,,SmaCross,12,736269.0,Broker,12,250000.0,250000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,,13,2016-11-02 00:00:00,7.2,7.2,6.86,6.87,7915528.0,,SmaCross,13,736270.0,Broker,13,250000.0,250000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,,14,2016-11-03 00:00:00,6.875,7.075,6.825,6.89,5573687.0,,SmaCross,14,736271.0,Broker,14,250000.0,250000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,,15,2016-11-04 00:00:00,6.805,6.82,6.57,6.665,8694319.0,,SmaCross,15,736272.0,Broker,15,250000.0,250000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,,16,2016-11-07 00:00:00,6.87,7.09,6.82,6.98,8702254.0,,SmaCross,16,736275.0,Broker,16,250000.0,250000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,,17,2016-11-08 00:00:00,7.27,7.27,6.865,6.94,8381480.0,,SmaCross,17,736276.0,Broker,17,250000.0,250000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,,18,2016-11-09 00:00:00,6.56,6.94,6.505,6.8,7197804.0,,SmaCross,18,736277.0,Broker,18,250000.0,250000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,,19,2016-11-10 00:00:00,7.1,7.31,7.05,7.22,10418691.0,,SmaCross,19,736278.0,Broker,19,250000.0,250000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,,20,2016-11-11 00:00:00,7.26,7.295,7.12,7.15,7797407.0,,SmaCross,20,736279.0,Broker,20,250000.0,250000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,,21,2016-11-14 00:00:00,7.165,7.195,6.855,6.92,7466932.0,,SmaCross,21,736282.0,Broker,21,250000.0,250000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,,22,2016-11-15 00:00:00,7.03,7.24,7.03,7.24,7029963.0,,SmaCross,22,736283.0,Broker,22,250000.0,250000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,,23,2016-11-16 00:00:00,7.35,7.87,7.15,7.81,23865966.0,,SmaCross,23,736284.0,Broker,23,250000.0,250000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,,24,2016-11-17 00:00:00,7.7,7.835,7.455,7.52,10542000.0,,SmaCross,24,736285.0,Broker,24,250000.0,250000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,,25,2016-11-18 00:00:00,7.5,7.67,7.405,7.545,6232046.0,,SmaCross,25,736286.0,Broker,25,250000.0,250000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,,26,2016-11-21 00:00:00,7.64,7.78,7.61,7.74,5826772.0,,SmaCross,26,736289.0,Broker,26,250000.0,250000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,,27,2016-11-22 00:00:00,7.89,8.03,7.73,7.75,10383290.0,,SmaCross,27,736290.0,Broker,27,250000.0,250000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,,28,2016-11-23 00:00:00,7.75,7.845,7.49,7.59,7263088.0,,SmaCross,28,736291.0,Broker,28,250000.0,250000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,,29,2016-11-24 00:00:00,7.555,7.63,7.48,7.505,3596335.0,,SmaCross,29,736292.0,Broker,29,250000.0,250000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,,30,2016-11-25 00:00:00,7.5,7.52,7.34,7.35,4139909.0,,SmaCross,30,736293.0,Broker,30,250000.0,250000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,,31,2016-11-28 00:00:00,7.275,7.42,7.07,7.34,4733736.0,,SmaCross,31,736296.0,Broker,31,250000.0,250000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,,32,2016-11-29 00:00:00,7.28,7.32,7.06,7.11,6217277.0,,SmaCross,32,736297.0,Broker,32,250000.0,250000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,,33,2016-11-30 00:00:00,7.15,7.69,7.145,7.4,15586395.0,,SmaCross,33,736298.0,Broker,33,250000.0,250000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,,34,2016-12-01 00:00:00,7.675,7.825,7.56,7.65,13677601.0,,SmaCross,34,736299.0,Broker,34,250000.0,250000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,,35,2016-12-02 00:00:00,7.61,7.965,7.57,7.96,10243810.0,,SmaCross,35,736300.0,Broker,35,250000.0,250000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,,36,2016-12-05 00:00:00,8.08,8.19,7.925,8.0,10504421.0,,SmaCross,36,736303.0,Broker,36,250000.0,250000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,,37,2016-12-06 00:00:00,7.95,7.955,7.75,7.75,6926008.0,,SmaCross,37,736304.0,Broker,37,250000.0,250000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,,38,2016-12-07 00:00:00,7.81,7.825,7.61,7.725,5701224.0,,SmaCross,38,736305.0,Broker,38,250000.0,250000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,,39,2016-12-08 00:00:00,7.675,7.91,7.615,7.89,6037773.0,,SmaCross,39,736306.0,Broker,39,250000.0,250000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,,40,2016-12-09 00:00:00,7.9,7.945,7.81,7.895,5850943.0,,SmaCross,40,736307.0,Broker,40,250000.0,250000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,,41,2016-12-12 00:00:00,8.19,8.33,8.125,8.19,12719755.0,,SmaCross,41,736310.0,Broker,41,250000.0,250000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,,42,2016-12-13 00:00:00,8.155,8.485,8.02,8.365,16605870.0,,SmaCross,42,736311.0,Broker,42,250000.0,250000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,,43,2016-12-14 00:00:00,8.385,8.39,8.15,8.195,5992815.0,,SmaCross,43,736312.0,Broker,43,250000.0,250000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,,44,2016-12-15 00:00:00,8.175,8.265,5.0,8.155,5951029.0,,SmaCross,44,736313.0,Broker,44,250000.0,250000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,,45,2016-12-16 00:00:00,8.195,8.355,8.18,8.315,8637128.0,,SmaCross,45,736314.0,Broker,45,250000.0,250000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,,46,2016-12-19 00:00:00,8.35,8.42,8.265,8.315,7739688.0,,SmaCross,46,736317.0,Broker,46,250000.0,250000.0,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,,47,2016-12-20 00:00:00,8.35,8.36,8.2,8.23,5733408.0,,SmaCross,47,736318.0,Broker,47,250000.0,250000.0,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,,48,2016-12-21 00:00:00,8.255,8.32,8.11,8.125,4814754.0,,SmaCross,48,736319.0,Broker,48,250000.0,250000.0,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,,49,2016-12-22 00:00:00,8.105,8.125,7.91,7.96,6008621.0,,SmaCross,49,736320.0,Broker,49,250000.0,250000.0,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,,50,2016-12-23 00:00:00,8.0,8.05,7.89,8.01,3976167.0,,SmaCross,50,736321.0,Broker,50,250000.0,250000.0,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,,51,2016-12-27 00:00:00,8.02,8.24,8.01,8.23,3197842.0,,SmaCross,51,736325.0,Broker,51,250000.0,250000.0,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,,52,2016-12-28 00:00:00,8.245,8.495,8.24,8.495,7387724.0,,SmaCross,52,736326.0,Broker,52,250000.0,250000.0,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,,53,2016-12-29 00:00:00,8.4,8.49,8.38,8.425,4435016.0,,SmaCross,53,736327.0,Broker,53,250000.0,250000.0,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,,54,2016-12-30 00:00:00,8.455,8.57,8.45,8.48,4518533.0,,SmaCross,54,736328.0,Broker,54,250000.0,250000.0,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,,55,2017-01-02 00:00:00,8.505,8.8,8.485,8.79,7718664.0,,SmaCross,55,736331.0,Broker,55,250000.0,250000.0,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,,56,2017-01-03 00:00:00,8.945,9.2,8.9,9.1,13070960.0,,SmaCross,56,736332.0,Broker,56,250000.0,250000.0,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,,57,2017-01-04 00:00:00,8.985,9.14,8.85,8.98,10286854.0,,SmaCross,57,736333.0,Broker,57,250000.0,250000.0,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,,58,2017-01-05 00:00:00,9.02,9.06,8.865,9.005,6544768.0,,SmaCross,58,736334.0,Broker,58,250000.0,250000.0,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,,59,2017-01-06 00:00:00,8.865,9.005,8.7,8.855,8036083.0,,SmaCross,59,736335.0,Broker,59,250000.0,250000.0,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,,60,2017-01-09 00:00:00,9.5,9.5,9.11,9.125,18548236.0,,SmaCross,60,736338.0,Broker,60,250000.0,250000.0,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,,61,2017-01-10 00:00:00,9.12,9.395,9.095,9.345,10272312.0,,SmaCross,61,736339.0,Broker,61,250000.0,250000.0,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,,62,2017-01-11 00:00:00,9.29,9.345,9.215,9.29,5574238.0,,SmaCross,62,736340.0,Broker,62,250000.0,250000.0,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,,63,2017-01-12 00:00:00,9.285,9.57,9.285,9.435,14493334.0,,SmaCross,63,736341.0,Broker,63,250000.0,250000.0,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,,64,2017-01-13 00:00:00,9.48,9.55,9.44,9.44,5063601.0,,SmaCross,64,736342.0,Broker,64,250000.0,250000.0,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,,65,2017-01-16 00:00:00,9.405,9.45,9.18,9.18,5294566.0,,SmaCross,65,736345.0,Broker,65,250000.0,250000.0,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,,66,2017-01-17 00:00:00,9.14,9.33,9.1,9.205,6262496.0,,SmaCross,66,736346.0,Broker,66,250000.0,250000.0,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,,67,2017-01-18 00:00:00,9.22,9.285,9.12,9.155,5276505.0,,SmaCross,67,736347.0,Broker,67,250000.0,250000.0,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,,68,2017-01-19 00:00:00,9.035,9.1,8.82,8.97,10036782.0,,SmaCross,68,736348.0,Broker,68,250000.0,250000.0,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,,69,2017-01-20 00:00:00,8.97,9.22,8.97,9.19,5626497.0,,SmaCross,69,736349.0,Broker,69,250000.0,250000.0,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,,70,2017-01-23 00:00:00,9.36,9.395,9.16,9.22,8112641.0,,SmaCross,70,736352.0,Broker,70,250000.0,250000.0,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,,71,2017-01-24 00:00:00,9.26,9.27,8.98,9.075,7210479.0,,SmaCross,71,736353.0,Broker,71,250000.0,250000.0,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,,72,2017-01-25 00:00:00,9.09,9.145,8.93,9.025,5172042.0,,SmaCross,72,736354.0,Broker,72,250000.0,250000.0,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,,73,2017-01-26 00:00:00,9.025,9.095,8.86,9.01,5128109.0,,SmaCross,73,736355.0,Broker,73,250000.0,250000.0,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,,74,2017-01-27 00:00:00,9.07,9.09,8.96,9.02,3459506.0,,SmaCross,74,736356.0,Broker,74,250000.0,250000.0,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,,75,2017-01-30 00:00:00,8.96,8.97,8.525,8.55,12187503.0,,SmaCross,75,736359.0,Broker,75,250000.0,250000.0,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,,76,2017-01-31 00:00:00,8.515,8.69,8.34,8.61,8986916.0,,SmaCross,76,736360.0,Broker,76,250000.0,250000.0,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,,77,2017-02-01 00:00:00,8.65,8.89,8.63,8.785,5364883.0,,SmaCross,77,736361.0,Broker,77,250000.0,250000.0,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,,78,2017-02-02 00:00:00,8.785,8.81,8.555,8.555,4195441.0,,SmaCross,78,736362.0,Broker,78,250000.0,250000.0,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,,79,2017-02-03 00:00:00,8.595,8.73,8.525,8.73,3154822.0,,SmaCross,79,736363.0,Broker,79,250000.0,250000.0,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,,80,2017-02-06 00:00:00,8.74,8.795,8.64,8.645,3686149.0,,SmaCross,80,736366.0,Broker,80,250000.0,250000.0,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,,81,2017-02-07 00:00:00,8.65,8.815,8.585,8.625,6126589.0,,SmaCross,81,736367.0,Broker,81,250000.0,250000.0,BuySell,81,,,Trades - Net Profit/Loss,81,,
